goos: linux
goarch: amd64
pkg: github.com/scionproto/scion/go/border/qos/queues
BenchmarkClassification2/Regular-100-10-400-100-8   	   17146	     69623 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification2/Regular-100-10-400-1000-8  	    1720	    704956 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification2/Regular-1000-10-2-1-8      	  637279	      1786 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification2/Regular-1000-10-2-10-8     	   64850	     18263 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification2/Regular-1000-10-2-100-8    	    6418	    183577 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification2/Regular-1000-10-2-1000-8   	     649	   1837682 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification2/Regular-1000-10-10-1-8     	  653282	      1794 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification2/Regular-1000-10-10-10-8    	   65676	     18398 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification2/Regular-1000-10-10-100-8   	    6333	    184490 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification2/Regular-1000-10-10-1000-8  	     644	   1854024 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification2/Regular-1000-10-100-1-8    	  669814	      1804 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification2/Regular-1000-10-100-10-8   	   65800	     18348 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification2/Regular-1000-10-100-100-8  	    6576	    184368 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification2/Regular-1000-10-100-1000-8 	     650	   1839399 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification2/Regular-1000-10-255-1-8    	  657308	      1797 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification2/Regular-1000-10-255-10-8   	   65917	     18826 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification2/Regular-1000-10-255-100-8  	    6370	    184429 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification2/Regular-1000-10-255-1000-8 	     638	   1831394 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification2/Regular-1000-10-400-1-8    	  675649	      1790 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification2/Regular-1000-10-400-10-8   	   65412	     18295 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification2/Regular-1000-10-400-100-8  	    6372	    185071 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification2/Regular-1000-10-400-1000-8 	     642	   1840926 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification2/Cacheless-1-10-2-1-8       	 8541387	       142 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification2/Cacheless-1-10-2-10-8      	  822126	      1435 ns/op	       0 B/op	       0 allocs/op
