go test -benchmem -run=xxx -bench=BenchmarkQueueSinglePacketBlockingDiffNo -timeout 60m
goos: linux
goarch: amd64
pkg: github.com/scionproto/scion/go/border/qos
BenchmarkQueueSinglePacketBlockingDiffNo/Len158-8       	     458	   2834927 ns/op	    7615 B/op	     158 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len159-8       	     442	   2860904 ns/op	    7648 B/op	     159 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len160-8       	     452	   2874373 ns/op	    7711 B/op	     160 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len161-8       	     404	   2818007 ns/op	    7746 B/op	     161 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len162-8       	     471	   2879744 ns/op	    7806 B/op	     162 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len163-8       	     391	   2840853 ns/op	    7842 B/op	     163 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len164-8       	     394	   2886078 ns/op	    7890 B/op	     164 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len165-8       	     472	   2929239 ns/op	    7935 B/op	     165 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len166-8       	     411	   3011130 ns/op	    7985 B/op	     166 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len167-8       	     404	   2975871 ns/op	    8034 B/op	     167 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len168-8       	     399	   2979297 ns/op	    8082 B/op	     168 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len169-8       	     415	   3031736 ns/op	    8128 B/op	     169 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len170-8       	     412	   3071003 ns/op	    8178 B/op	     170 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len171-8       	     415	   3070833 ns/op	    8225 B/op	     171 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len172-8       	     405	   3048134 ns/op	    8291 B/op	     172 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len173-8       	     458	   3074192 ns/op	    8320 B/op	     173 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len174-8       	     376	   3140195 ns/op	    8390 B/op	     174 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len175-8       	     378	   3110650 ns/op	    8418 B/op	     175 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len176-8       	     408	   3193467 ns/op	    8482 B/op	     176 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len177-8       	     403	   3153804 ns/op	    8513 B/op	     177 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len178-8       	     462	   3178078 ns/op	    8575 B/op	     178 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len179-8       	     418	   3164626 ns/op	    8609 B/op	     179 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len180-8       	     380	   3249937 ns/op	    8658 B/op	     180 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len181-8       	     373	   3238133 ns/op	    8709 B/op	     181 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len182-8       	     364	   3238489 ns/op	    8757 B/op	     182 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len183-8       	     363	   3247165 ns/op	    8804 B/op	     183 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len184-8       	     364	   3245255 ns/op	    8852 B/op	     184 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len185-8       	     457	   3319095 ns/op	    8896 B/op	     185 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len186-8       	     369	   3321741 ns/op	    8947 B/op	     186 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len187-8       	     343	   3331097 ns/op	    9017 B/op	     187 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len188-8       	     370	   3343337 ns/op	    9043 B/op	     188 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len189-8       	     339	   3295512 ns/op	    9115 B/op	     189 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len190-8       	     457	   3395312 ns/op	    9137 B/op	     190 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len191-8       	     331	   3335910 ns/op	    9191 B/op	     191 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len192-8       	     355	   3416161 ns/op	    9235 B/op	     192 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len193-8       	     457	   3469605 ns/op	    9295 B/op	     193 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len194-8       	     331	   3429268 ns/op	    9333 B/op	     194 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len195-8       	     334	   3472640 ns/op	    9381 B/op	     195 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len196-8       	     340	   3511098 ns/op	    9429 B/op	     196 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len197-8       	     355	   3537934 ns/op	    9476 B/op	     197 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len198-8       	     337	   3502449 ns/op	    9526 B/op	     198 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len199-8       	     343	   3580437 ns/op	    9571 B/op	     199 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len200-8       	     336	   3539226 ns/op	    9643 B/op	     200 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len201-8       	     331	   3578609 ns/op	    9669 B/op	     201 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len202-8       	     338	   3611515 ns/op	    9731 B/op	     202 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len203-8       	     334	   3620498 ns/op	    9765 B/op	     203 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len204-8       	     358	   3609665 ns/op	    9831 B/op	     204 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len205-8       	     314	   3645498 ns/op	    9863 B/op	     205 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len206-8       	     338	   3654788 ns/op	    9910 B/op	     206 allocs/op
